"Assembly_No","Deposit_Lost","Election_Type","Expanded_Party_Name","Party","Seat_Share","State_Name","Strike_Rate","Total_Candidates","Total_Seats_in_Assembly","Total_Votes_in_Assembly","Total_Votes_in_Contested_Seats","Vote_Share_in_Assembly","Vote_Share_in_Contested_Seats","Winners","Year","position"
"3","","GE","INDIA NATIONAL CONGRESS","INC","73.08","Lok_Sabha","73.9754098360656","488","494","115168890","19448378","44.72","264.85","361","1962","1"
"4","","GE","INDIA NATIONAL CONGRESS","INC","54.42","Lok_Sabha","54.8449612403101","516","520","145866510","23500701","40.78","253.14","283","1967","1"
"5","","GE","INDIA NATIONAL CONGRESS","INC","67.95","Lok_Sabha","79.8185941043084","441","518","146602276","21918270","43.68","292.15","352","1971","1"
"6","","GE","INDIA NATIONAL CONGRESS","INC","28.41","Lok_Sabha","31.3008130081301","492","542","188917504","29735972","34.52","219.3","154","1977","2"
"7","","GE","INDIAN NATIONAL CONGRESS (I)","INC(I)","66.73","Lok_Sabha","71.7479674796748","492","529","197824274","31396014","42.69","269","353","1980","1"
"8","","GE","BHARATIYA JANATA PARTY","BJP","0.37","Lok_Sabha","0.873362445414847","229","541","249585334","29518632","7.4","62.56","2","1984","13"
"8","","GE","INDIA NATIONAL CONGRESS","INC","76.52","Lok_Sabha","80.0773694390716","517","541","249585334","37526393","48.12","320.06","414","1984","1"
"9","","GE","BHARATIYA JANATA PARTY","BJP","16.07","Lok_Sabha","37.7777777777778","225","529","300776366","33925612","11.36","100.72","85","1989","3"
"9","","GE","INDIA NATIONAL CONGRESS","INC","37.24","Lok_Sabha","38.6274509803922","510","529","300776366","45176688","39.53","263.18","197","1989","1"
"10","","GE","BHARATIYA JANATA PARTY","BJP","22.47","Lok_Sabha","25.1572327044025","477","534","278223387","41689683","20.07","133.95","120","1991","2"
"10","","GE","INDIA NATIONAL CONGRESS","INC","45.69","Lok_Sabha","48.8","500","534","278223387","40759067","36.4","248.5","244","1991","1"
"11","","GE","BHARATIYA JANATA PARTY","BJP","29.65","Lok_Sabha","34.1825902335456","471","543","334873286","50395169","20.29","134.84","161","1996","1"
"11","","GE","INDIA NATIONAL CONGRESS","INC","25.78","Lok_Sabha","26.4650283553875","529","543","334873286","50156345","28.8","192.31","140","1996","2"
"12","","GE","BHARATIYA JANATA PARTY","BJP","33.52","Lok_Sabha","46.9072164948454","388","543","368376700","57322026","25.59","164.45","182","1998","1"
"12","","GE","INDIA NATIONAL CONGRESS","INC","25.97","Lok_Sabha","29.559748427673","477","543","368376700","54083135","25.82","175.86","141","1998","2"
"13","","GE","BHARATIYA JANATA PARTY","BJP","33.52","Lok_Sabha","53.6873156342183","339","543","364437294","54085266","23.75","160.05","182","1999","1"
"13","","GE","INDIA NATIONAL CONGRESS","INC","20.99","Lok_Sabha","25.1655629139073","453","543","364437294","52275259","28.3","197.26","114","1999","2"
"14","","GE","BHARATIYA JANATA PARTY","BJP","25.41","Lok_Sabha","37.9120879120879","364","543","389779784","55253498","22.16","156.32","138","2004","2"
"14","","GE","INDIA NATIONAL CONGRESS","INC","26.7","Lok_Sabha","34.7721822541966","417","543","389779784","55850189","26.53","185.15","145","2004","1"
"15","","GE","BHARATIYA JANATA PARTY","BJP","21.36","Lok_Sabha","26.7898383371824","433","543","417159281","59882187","18.8","130.98","116","2009","2"
"15","","GE","INDIA NATIONAL CONGRESS","INC","37.94","Lok_Sabha","46.8181818181818","440","543","417159281","55227094","28.55","215.67","206","2009","1"
"16","","GE","BHARATIYA JANATA PARTY","BJP","51.93","Lok_Sabha","65.8878504672897","428","543","553802946","80362865","31","213.61","282","2014","1"
"16","","GE","INDIA NATIONAL CONGRESS","INC","8.1","Lok_Sabha","9.48275862068965","464","543","553802946","81994547","19.31","130.42","44","2014","2"
"17","","GE","BHARATIYA JANATA PARTY","BJP","55.8","Lok_Sabha","69.4954128440367","436","543","614163406","87510446","37.3","261.77","303","2019","1"
"17","","GE","INDIA NATIONAL CONGRESS","INC","9.58","Lok_Sabha","12.3515439429929","421","543","614163406","82896328","19.46","144.15","52","2019","2"
