Date of Purchase,Old Purchaser Name,Purchaser,Denomination,Purchaser Group
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,1000000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,1000000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,1000000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,A B C INDIA LIMITED,A B C INDIA LTD,100000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,100000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,1000000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,100000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,100000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,100000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,100000,Others
4/12/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ACROPOLIS MAINTENANCE SERVICES PRIVATE LTD,1000000,Others
4/12/2019,ARIHANT ENTERPRISES,ARIHANT ENTERPRISES,1000000,Others
4/12/2019,ARIHANT ENTERPRISES,ARIHANT ENTERPRISES,1000000,Others
4/12/2019,ARIHANT ENTERPRISES,ARIHANT ENTERPRISES,1000000,Others
4/12/2019,ARIHANT ENTERPRISES,ARIHANT ENTERPRISES,1000000,Others
4/12/2019,CHOUDHARY GARMENTS,CHOUDHARY GARMENTS,1000000,Others
4/12/2019,CHOUDHARY GARMENTS,CHOUDHARY GARMENTS,1000000,Others
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,1000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
4/12/2019,ESSEL MINING AND INDS LTD,ESSEL MINING AND INDS LTD,10000000,ESSEL MINING AND INDS LTD
