Date of Encashment,Name of the Political Party,Denomination
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),10000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),10000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),10000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
4/12/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM (AIADMK),1000000
